Наименование;Артикул;Цена;Наличие
Устойчивая к разрезанию перчатка Spectra Crewware SG10-BL-M; SG10-BL-M ;3 081.56 ;Есть
Устойчивая к разрезанию перчатка Spectra Crewware SG10-GN-L; SG10-GN-L ;3 081.56 ;Есть
Устойчивая к разрезанию перчатка Spectra Crewware SG10-Y-S; SG10-Y-S ;3 081.56 ;Есть
Устойчивая к разрезанию перчатка Spectra Crewware SG10-Y-M; SG10-Y-M ;3 081.56 ;Есть
Устойчивая к разрезанию перчатка Spectra Crewware SG10-Y-L; SG10-Y-L ;3 081.56 ;Есть
Нож мясницкий серии Sani-Safe 203 мм. Dexter-Russell S112-8-PCP; 4133;3 790 ;Есть
Лопатка для жарки серии Sani-Safe 127х101 мм. Dexter-Russell S285-4-PCP; 19723;2 225 ;Есть
Комплект из 3-х подставок для чайных пакетиков на 6 отделений Mind Reader STBORG-BLK; STBORG-BLK-3PACK;3 437 ;Есть
Нож поварской серии Sani-Safe 203 мм. Dexter-Russell S145-8-PCP; 12443;3 599 ;Есть
Стакан для блендера L'equip LB-32HP 1,7 л.; ;178.03 ;Есть
Мусат мясницкий серии Traditional 305 мм. Dexter-Russell 1212B; 07373;3 142 ;Есть
Черный 6-ти секционный настольный органайзер для стаканов, крышек и порционных продуктов HOGA-7COMORGBLK; HOGA-7COMORGBLK;4 603 ;Есть
Нож для готового мяса зубчатый серии Sani-Safe 305 мм. Dexter-Russell S140-12SC-PCP; 13463;773 ;Есть
Нож хлебный серии DuoGlide 190 мм. Dexter-Russell 40023; 40023;2 520 ;Есть
Мусат серии Traditional 305 мм. Dexter-Russell 12SXL; 07343;4 924 ;Есть
Лоток для яиц Dejelin; 5412400002938;9 079.74 ;Есть
Нож поварской серии V-Lo 203 мм. Dexter-Russell V145-8-PCP; 29243;3 893 ;Есть
Подставка под кофемашину органайзер для 61 кофейных капсул Dolce Gusto или 96 Nespresso HOGA-CADP496BK; HOGA-CADP496BK;2 200 ;Есть
Разделочная доска San Jamar (белая, 381х508 мм.); CBG152012WH;1 862 ;Есть
Нож поварской серии Sani-Safe 254 мм. Dexter-Russell S145-10-PCP; 12433;3 988 ;Есть
Бамбуковый органайзер для чайных пакетиков и стаканов Mind Reader BMCOMP7-BRN; BMCOMP7-BRN;4 932 ;Есть
Нож поварской серии V-Lo 254 мм. Dexter-Russell V145-10-PCP; 29253;4 469 ;Есть
Черный 11-ти секционный настольный органайзер для стаканов, крышек, салфеток и порционных продуктов HOGA-7COMORG2BLK; HOGA-7COMORG2BLK;4 603 ;Есть
Крышка для контейнера VAC-NORM 1/3; 5140118;104 726 ;Есть
Мусат алмазный серии Sani-Safe 305 мм. Dexter-Russell DDS-12-PCP; 07633;4 924 ;Есть
Нож Сантоку поварской серии V-Lo 178 мм. Dexter-Russell V144-7GE-PCP; 29273;3 273 ;Есть
Диск FR-2+ терка с отверстиями 2 мм.; 1010310;4 806.92 ;Есть
